ARCHIVO;N;FECHA;HORARIO;ARU;DETECCION;BI
20210430_093000.WAV;178;20210430;93000;a04;0;0.616
20210430_103000.WAV;179;20210430;103000;a04;0;0.6549
20210430_233000.WAV;180;20210430;233000;a04;1;3.2826
20210501_003000.WAV;181;20210501;3000;a04;1;2.9655
20210501_013000.WAV;182;20210501;13000;a04;1;2.2438
20210501_023000.WAV;183;20210501;23000;a04;0;0.6437
20210501_033000.WAV;184;20210501;33000;a04;0;0.6404
20210501_043000.WAV;185;20210501;43000;a04;0;0.5947
20210501_053000.WAV;186;20210501;53000;a04;0;0.6218
20210501_063000.WAV;187;20210501;63000;a04;0;0.6209
20210501_073000.WAV;188;20210501;73000;a04;0;0.6234
20210501_083000.WAV;189;20210501;83000;a04;0;0.5942
20210501_093000.WAV;190;20210501;93000;a04;0;0.6194
20210501_103000.WAV;191;20210501;103000;a04;0;0.6458
20210501_233000.WAV;192;20210501;233000;a04;1;5.5406
20210502_003000.WAV;193;20210502;3000;a04;1;4.382
20210502_013000.WAV;194;20210502;13000;a04;1;2.8787
20210502_023000.WAV;195;20210502;23000;a04;0;0.6337
20210502_033000.WAV;196;20210502;33000;a04;0;0.5764
20210502_043000.WAV;197;20210502;43000;a04;0;0.6334
20210502_053000.WAV;198;20210502;53000;a04;0;0.6214
20210502_063000.WAV;199;20210502;63000;a04;0;0.6177
20210502_073000.WAV;200;20210502;73000;a04;0;0.6097
20210502_083000.WAV;201;20210502;83000;a04;0;0.6108
20210502_093000.WAV;202;20210502;93000;a04;0;0.6468
20210502_103000.WAV;203;20210502;103000;a04;0;0.6082
20210502_233000.WAV;204;20210502;233000;a04;1;4.6135
20210503_003000.WAV;205;20210503;3000;a04;1;7.4113
20210503_013000.WAV;206;20210503;13000;a04;1;1.0915
20210503_023000.WAV;207;20210503;23000;a04;0;0.6526
20210503_033000.WAV;208;20210503;33000;a04;0;0.6065
20210503_043000.WAV;209;20210503;43000;a04;0;0.6266
20210503_053000.WAV;210;20210503;53000;a04;0;0.5848
20210503_063000.WAV;211;20210503;63000;a04;0;0.6107
20210503_073000.WAV;212;20210503;73000;a04;0;0.6405
20210503_083000.WAV;213;20210503;83000;a04;0;0.6226
20210503_093000.WAV;214;20210503;93000;a04;0;0.6245
20210503_103000.WAV;215;20210503;103000;a04;0;0.6721
20210503_233000.WAV;216;20210503;233000;a04;1;6.3588
20210504_003000.WAV;217;20210504;3000;a04;1;4.4978
20210504_013000.WAV;218;20210504;13000;a04;1;4.3304
20210504_023000.WAV;219;20210504;23000;a04;0;0.6162
20210504_033000.WAV;220;20210504;33000;a04;0;0.5771
20210504_043000.WAV;221;20210504;43000;a04;0;0.6236
20210504_053000.WAV;222;20210504;53000;a04;0;0.5962
20210504_063000.WAV;223;20210504;63000;a04;0;0.6624
20210504_073000.WAV;224;20210504;73000;a04;0;0.6243
20210504_083000.WAV;225;20210504;83000;a04;0;0.6364
20210504_093000.WAV;226;20210504;93000;a04;0;0.6683
20210504_103000.WAV;227;20210504;103000;a04;0;0.6004
20210504_233000.WAV;228;20210504;233000;a04;1;5.8591
20210505_003000.WAV;229;20210505;3000;a04;1;4.7537
20210505_013000.WAV;230;20210505;13000;a04;1;3.162
20210505_023000.WAV;231;20210505;23000;a04;0;0.6006
20210505_033000.WAV;232;20210505;33000;a04;0;0.6453
20210505_043000.WAV;233;20210505;43000;a04;0;0.6106
20210505_053000.WAV;234;20210505;53000;a04;0;0.6163
20210505_063000.WAV;235;20210505;63000;a04;0;0.6241
20210505_073000.WAV;236;20210505;73000;a04;0;0.5994
20210505_083000.WAV;237;20210505;83000;a04;0;0.6587
20210505_093000.WAV;238;20210505;93000;a04;0;0.5903
20210505_103000.WAV;239;20210505;103000;a04;0;0.6397
20210505_233000.WAV;240;20210505;233000;a04;1;6.1477
20210506_003000.WAV;241;20210506;3000;a04;1;5.8005
20210506_013000.WAV;242;20210506;13000;a04;1;3.6623
20210506_023000.WAV;243;20210506;23000;a04;0;0.6215
20210506_033000.WAV;244;20210506;33000;a04;0;0.6175
20210506_043000.WAV;245;20210506;43000;a04;0;0.5911
20210506_053000.WAV;246;20210506;53000;a04;0;0.6017
20210506_063000.WAV;247;20210506;63000;a04;0;0.6151
20210506_073000.WAV;248;20210506;73000;a04;0;0.6889
20210506_083000.WAV;249;20210506;83000;a04;0;0.6036
20210506_093000.WAV;250;20210506;93000;a04;0;0.6575
20210506_103000.WAV;251;20210506;103000;a04;0;0.6374
20210506_233000.WAV;252;20210506;233000;a04;1;4.8993
20210507_003000.WAV;253;20210507;3000;a04;1;6.3575
20210507_013000.WAV;254;20210507;13000;a04;1;4.8969
20210507_023000.WAV;255;20210507;23000;a04;1;0.7077
20210507_033000.WAV;256;20210507;33000;a04;0;2.1607
20210507_043000.WAV;257;20210507;43000;a04;0;0.6163
20210507_053000.WAV;258;20210507;53000;a04;0;2.6169
20210507_063000.WAV;259;20210507;63000;a04;0;5.471
20210507_073000.WAV;260;20210507;73000;a04;0;1.2603
20210507_083000.WAV;261;20210507;83000;a04;0;1.9761
20210507_093000.WAV;262;20210507;93000;a04;0;1.4753
20210507_103000.WAV;263;20210507;103000;a04;0;3.3355
20210507_233000.WAV;264;20210507;233000;a04;1;5.1808
20210508_003000.WAV;265;20210508;3000;a04;1;4.508
20210508_013000.WAV;266;20210508;13000;a04;1;5.2523
20210508_023000.WAV;267;20210508;23000;a04;1;0.9716
20210508_033000.WAV;268;20210508;33000;a04;0;0.5957
20210508_043000.WAV;269;20210508;43000;a04;0;0.7254
20210508_053000.WAV;270;20210508;53000;a04;0;0.5993
20210508_063000.WAV;271;20210508;63000;a04;0;0.5968
20210508_073000.WAV;272;20210508;73000;a04;0;0.6091
20210508_083000.WAV;273;20210508;83000;a04;0;0.6053
20210508_093000.WAV;274;20210508;93000;a04;0;0.5909
20210508_103000.WAV;275;20210508;103000;a04;0;0.6182
20210508_233000.WAV;276;20210508;233000;a04;1;5.0361
20210509_003000.WAV;277;20210509;3000;a04;1;3.8141
20210509_013000.WAV;278;20210509;13000;a04;1;2.0793
20210509_023000.WAV;279;20210509;23000;a04;0;0.6608
20210509_033000.WAV;280;20210509;33000;a04;0;0.5862
20210509_043000.WAV;281;20210509;43000;a04;0;0.5902
20210509_053000.WAV;282;20210509;53000;a04;0;0.5927
20210509_063000.WAV;283;20210509;63000;a04;0;0.5922
20210509_073000.WAV;284;20210509;73000;a04;0;0.6486
20210509_083000.WAV;285;20210509;83000;a04;0;0.6078
20210509_093000.WAV;286;20210509;93000;a04;0;0.6436
20210509_103000.WAV;287;20210509;103000;a04;0;0.6042
20210509_233000.WAV;288;20210509;233000;a04;1;4.37
20210510_003000.WAV;289;20210510;3000;a04;1;4.0958
20210510_013000.WAV;290;20210510;13000;a04;1;3.1641
